onset	duration	begsample	endsample	offset	type
0.6	0.105	121	141	0	stimulation
1.605	0.105	322	342	0	stimulation
2.61	0.105	523	543	0	stimulation
3.615	0.105	724	744	0	stimulation
5.905	0.105	1182	1202	0	stimulation
6.91	0.105	1383	1403	0	stimulation
7.915	0.105	1584	1604	0	stimulation
16.605	0.105	3322	3342	0	stimulation
17.61	0.105	3523	3543	0	stimulation
18.615	0.105	3724	3744	0	stimulation
19.62	0.105	3925	3945	0	stimulation
36.31	0.105	7263	7283	0	stimulation
37.315	0.105	7464	7484	0	stimulation
38.32	0.105	7665	7685	0	stimulation
39.325	0.105	7866	7886	0	stimulation
54.735	0.105	10948	10968	0	stimulation
55.74	0.105	11149	11169	0	stimulation
56.745	0.105	11350	11370	0	stimulation
57.75	0.105	11551	11571	0	stimulation
61.64	0.105	12329	12349	0	stimulation
62.645	0.105	12530	12550	0	stimulation
63.65	0.105	12731	12751	0	stimulation
64.655	0.105	12932	12952	0	stimulation
74.625	0.105	14926	14946	0	stimulation
75.63	0.105	15127	15147	0	stimulation
76.635	0.105	15328	15348	0	stimulation
77.64	0.105	15529	15549	0	stimulation
85.05	0.105	17011	17031	0	stimulation
86.055	0.105	17212	17232	0	stimulation
87.06	0.105	17413	17433	0	stimulation
88.065	0.105	17614	17634	0	stimulation
89.07	0.105	17815	17835	0	stimulation
94.56	0.105	18913	18933	0	stimulation
95.565	0.105	19114	19134	0	stimulation
96.57	0.105	19315	19335	0	stimulation
97.575	0.105	19516	19536	0	stimulation
