onset	duration	begsample	endsample	offset	type
28.51	0.105	5703	5723	0	stimulation
29.48	0.105	5897	5917	0	stimulation
30.45	0.105	6091	6111	0	stimulation
31.42	0.105	6285	6305	0	stimulation
37.515	0.105	7504	7524	0	stimulation
38.485	0.105	7698	7718	0	stimulation
39.455	0.105	7892	7912	0	stimulation
62.19	0.105	12439	12459	0	stimulation
63.16	0.105	12633	12653	0	stimulation
64.13	0.105	12827	12847	0	stimulation
70.225	0.105	14046	14066	0	stimulation
71.195	0.105	14240	14260	0	stimulation
72.165	0.105	14434	14454	0	stimulation
73.135	0.105	14628	14648	0	stimulation
