onset	duration	begsample	endsample	offset	type
4.22	0.105	845	865	0	stimulation
4.87	0.105	975	995	0	stimulation
5.52	0.105	1105	1125	0	stimulation
6.18	0.105	1237	1257	0	stimulation
6.83	0.105	1367	1387	0	stimulation
61.56	0.105	12313	12333	0	stimulation
62.21	0.105	12443	12463	0	stimulation
62.86	0.105	12573	12593	0	stimulation
65.1249	0.105	13025.98	13045.98	0	stimulation
65.775	0.105	13156	13176	0	stimulation
66.425	0.105	13286	13306	0	stimulation
67.715	0.105	13544	13564	0	stimulation
68.365	0.105	13674	13694	0	stimulation
