onset	duration	begsample	endsample	offset	type
23.045	0.105	4610	4630	0	stimulation
23.695	0.105	4740	4760	0	stimulation
24.03	0.105	4807	4827	0	stimulation
24.675	0.105	4936	4956	0	stimulation
42.935	0.105	8588	8608	0	stimulation
43.585	0.105	8718	8738	0	stimulation
43.92	0.105	8785	8805	0	stimulation
44.565	0.105	8914	8934	0	stimulation
62.505	0.105	12502	12522	0	stimulation
63.155	0.105	12632	12652	0	stimulation
63.49	0.105	12699	12719	0	stimulation
64.135	0.105	12828	12848	0	stimulation
82.715	0.105	16544	16564	0	stimulation
