onset	duration	begsample	endsample	offset	type
7.92	0.105	1585	1605	0	stimulation
8.3	0.105	1661	1681	0	stimulation
8.68	0.105	1737	1757	0	stimulation
30.345	0.105	6070	6090	0	stimulation
31.53	0.105	6307	6327	0	stimulation
31.91	0.105	6383	6403	0	stimulation
32.29	0.105	6459	6479	0	stimulation
32.6699	0.105	6534.98	6554.98	0	stimulation
36.095	0.105	7220	7240	0	stimulation
36.64	0.105	7329	7349	0	stimulation
37.02	0.105	7405	7425	0	stimulation
37.245	0.105	7450	7470	0	stimulation
37.625	0.105	7526	7546	0	stimulation
62.65	0.105	12531	12551	0	stimulation
63.03	0.105	12607	12627	0	stimulation
63.41	0.105	12683	12703	0	stimulation
63.79	0.105	12759	12779	0	stimulation
72.655	0.105	14532	14552	0	stimulation
73.035	0.105	14608	14628	0	stimulation
73.415	0.105	14684	14704	0	stimulation
73.795	0.105	14760	14780	0	stimulation
89.54	0.105	17909	17929	0	stimulation
89.92	0.105	17985	18005	0	stimulation
90.3	0.105	18061	18081	0	stimulation
90.68	0.105	18137	18157	0	stimulation
