onset	duration	begsample	endsample	offset	type
6.325	0.105	1266	1286	0	stimulation
6.975	0.105	1396	1416	0	stimulation
7.625	0.105	1526	1546	0	stimulation
8.275	0.105	1656	1676	0	stimulation
9.57	0.105	1915	1935	0	stimulation
10.22	0.105	2045	2065	0	stimulation
10.87	0.105	2175	2195	0	stimulation
12.485	0.105	2498	2518	0	stimulation
13.135	0.105	2628	2648	0	stimulation
13.47	0.105	2695	2715	0	stimulation
14.115	0.105	2824	2844	0	stimulation
14.455	0.105	2892	2912	0	stimulation
31.745	0.105	6350	6370	0	stimulation
64.0799	0.105	12816.98	12836.98	0	stimulation
64.73	0.105	12947	12967	0	stimulation
65.38	0.105	13077	13097	0	stimulation
66.03	0.105	13207	13227	0	stimulation
66.68	0.105	13337	13357	0	stimulation
