onset	duration	begsample	endsample	offset	type
13.82	0.105	2765	2785	0	stimulation
14.47	0.105	2895	2915	0	stimulation
15.12	0.105	3025	3045	0	stimulation
15.77	0.105	3155	3175	0	stimulation
16.42	0.105	3285	3305	0	stimulation
61.56	0.105	12313	12333	0	stimulation
62.21	0.105	12443	12463	0	stimulation
62.86	0.105	12573	12593	0	stimulation
87.835	0.105	17568	17588	0	stimulation
88.485	0.105	17698	17718	0	stimulation
89.135	0.105	17828	17848	0	stimulation
89.485	0.105	17898	17918	0	stimulation
90.115	0.105	18024	18044	0	stimulation
