onset	duration	begsample	endsample	offset	type
9.675	0.105	1936	1956	0	stimulation
10.215	0.104999999999999	2044	2064	0	stimulation
10.755	0.105	2152	2172	0	stimulation
11.295	0.105	2260	2280	0	stimulation
60.805	0.105	12162	12182	0	stimulation
61.345	0.105	12270	12290	0	stimulation
61.885	0.105	12378	12398	0	stimulation
62.425	0.105	12486	12506	0	stimulation
88.895	0.105	17780	17800	0	stimulation
89.435	0.105	17888	17908	0	stimulation
89.975	0.105	17996	18016	0	stimulation
90.515	0.105	18104	18124	0	stimulation
