onset	duration	begsample	endsample	offset	type
27.535	0.105	5508	5528	0	stimulation
28.075	0.105	5616	5636	0	stimulation
28.615	0.105	5724	5744	0	stimulation
29.155	0.105	5832	5852	0	stimulation
53.06	0.105	10613	10633	0	stimulation
53.6	0.105	10721	10741	0	stimulation
54.14	0.105	10829	10849	0	stimulation
54.68	0.105	10937	10957	0	stimulation
61.625	0.105	12326	12346	0	stimulation
62.165	0.105	12434	12454	0	stimulation
74.87	0.105	14975	14995	0	stimulation
91.735	0.105	18348	18368	0	stimulation
92.275	0.105	18456	18476	0	stimulation
