onset	duration	begsample	endsample	offset	type
26.455	0.105	5292	5312	0	stimulation
35.16	0.105	7033	7053	0	stimulation
35.54	0.105	7109	7129	0	stimulation
35.92	0.105	7185	7205	0	stimulation
36.3	0.105	7261	7281	0	stimulation
61.01	0.105	12203	12223	0	stimulation
61.39	0.105	12279	12299	0	stimulation
61.77	0.105	12355	12375	0	stimulation
62.15	0.105	12431	12451	0	stimulation
76.62	0.105	15325	15345	0	stimulation
77	0.105	15401	15421	0	stimulation
77.38	0.105	15477	15497	0	stimulation
77.76	0.105	15553	15573	0	stimulation
