onset	duration	begsample	endsample	offset	type
12.555	0.105	2512	2532	0	stimulation
13.205	0.105	2642	2662	0	stimulation
13.855	0.105	2772	2792	0	stimulation
14.505	0.105	2902	2922	0	stimulation
61.245	0.105	12250	12270	0	stimulation
61.895	0.105	12380	12400	0	stimulation
62.545	0.105	12510	12530	0	stimulation
63.195	0.105	12640	12660	0	stimulation
82.095	0.105	16420	16440	0	stimulation
82.745	0.105	16550	16570	0	stimulation
83.395	0.105	16680	16700	0	stimulation
84.045	0.105	16810	16830	0	stimulation
