onset	duration	begsample	endsample	offset	type
18.385	0.105	3678	3698	0	stimulation
19.225	0.105	3846	3866	0	stimulation
19.69	0.105	3939	3959	0	stimulation
20.66	0.105	4133	4153	0	stimulation
32.515	0.105	6504	6524	0	stimulation
33.485	0.105	6698	6718	0	stimulation
34.455	0.105	6892	6912	0	stimulation
35.425	0.105	7086	7106	0	stimulation
62.505	0.105	12502	12522	0	stimulation
62.97	0.105	12595	12615	0	stimulation
63.805	0.105	12762	12782	0	stimulation
64.275	0.105	12856	12876	0	stimulation
65.105	0.105	13022	13042	0	stimulation
