onset	duration	begsample	endsample	offset	type
2.885	0.105	578	598	0	stimulation
3.535	0.105	708	728	0	stimulation
4.185	0.105	838	858	0	stimulation
4.835	0.105	968	988	0	stimulation
29.495	0.105	5900	5920	0	stimulation
30.145	0.105	6030	6050	0	stimulation
30.795	0.105	6160	6180	0	stimulation
31.445	0.105	6290	6310	0	stimulation
62.505	0.105	12502	12522	0	stimulation
63.155	0.105	12632	12652	0	stimulation
63.805	0.105	12762	12782	0	stimulation
68.62	0.105	13725	13745	0	stimulation
69.27	0.105	13855	13875	0	stimulation
69.92	0.105	13985	14005	0	stimulation
70.57	0.105	14115	14135	0	stimulation
90.105	0.105	18022	18042	0	stimulation
90.755	0.105	18152	18172	0	stimulation
91.405	0.105	18282	18302	0	stimulation
92.055	0.105	18412	18432	0	stimulation
