onset	duration	begsample	endsample	offset	type
2.295	0.105	460	480	0	stimulation
2.945	0.105	590	610	0	stimulation
3.595	0.105	720	740	0	stimulation
4.245	0.105	850	870	0	stimulation
27.945	0.105	5590	5610	0	stimulation
61.56	0.105	12313	12333	0	stimulation
62.21	0.105	12443	12463	0	stimulation
62.86	0.105	12573	12593	0	stimulation
63.51	0.105	12703	12723	0	stimulation
69.285	0.105	13858	13878	0	stimulation
69.935	0.105	13988	14008	0	stimulation
70.585	0.105	14118	14138	0	stimulation
71.9	0.105	14381	14401	0	stimulation
91.415	0.105	18284	18304	0	stimulation
92.065	0.105	18414	18434	0	stimulation
92.715	0.105	18544	18564	0	stimulation
