onset	duration	begsample	endsample	offset	type
9.115	0.105	1824	1844	0	stimulation
9.495	0.105	1900	1920	0	stimulation
9.875	0.105	1976	1996	0	stimulation
16.3399	0.105	3268.98	3288.98	0	stimulation
16.72	0.105	3345	3365	0	stimulation
17.26	0.105	3453	3473	0	stimulation
21.805	0.105	4362	4382	0	stimulation
22.345	0.105	4470	4490	0	stimulation
61.625	0.105	12326	12346	0	stimulation
62.005	0.105	12402	12422	0	stimulation
62.385	0.105	12478	12498	0	stimulation
62.765	0.105	12554	12574	0	stimulation
68.11	0.105	13623	13643	0	stimulation
68.49	0.105	13699	13719	0	stimulation
68.87	0.105	13775	13795	0	stimulation
69.25	0.105	13851	13871	0	stimulation
82.115	0.105	16424	16444	0	stimulation
82.495	0.105	16500	16520	0	stimulation
82.875	0.105	16576	16596	0	stimulation
83.255	0.105	16652	16672	0	stimulation
