onset	duration	begsample	endsample	offset	type
4.88	0.105	977	997	0	stimulation
5.26	0.105	1053	1073	0	stimulation
5.64	0.105	1129	1149	0	stimulation
6.02	0.105	1205	1225	0	stimulation
60.805	0.105	12162	12182	0	stimulation
61.185	0.105	12238	12258	0	stimulation
65.875	0.105	13176	13196	0	stimulation
66.255	0.105	13252	13272	0	stimulation
69.2	0.105	13841	13861	0	stimulation
69.58	0.105	13917	13937	0	stimulation
69.96	0.105	13993	14013	0	stimulation
77.705	0.105	15542	15562	0	stimulation
78.085	0.105	15618	15638	0	stimulation
89.99	0.105	17999	18019	0	stimulation
