onset	duration	begsample	endsample	offset	type
10.225	0.105	2046	2066	0	stimulation
10.97	0.105	2195	2215	0	stimulation
11.715	0.105	2344	2364	0	stimulation
12.15	0.105	2431	2451	0	stimulation
12.885	0.105	2578	2598	0	stimulation
31.56	0.105	6313	6333	0	stimulation
32.305	0.105	6462	6482	0	stimulation
32.735	0.105	6548	6568	0	stimulation
33.475	0.105	6696	6716	0	stimulation
33.91	0.105	6783	6803	0	stimulation
49.375	0.105	9876	9896	0	stimulation
50.12	0.105	10025	10045	0	stimulation
50.865	0.105	10174	10194	0	stimulation
51.61	0.105	10323	10343	0	stimulation
52.05	0.105	10411	10431	0	stimulation
66.87	0.105	13375	13395	0	stimulation
67.615	0.105	13524	13544	0	stimulation
68.365	0.105	13674	13694	0	stimulation
69.105	0.105	13822	13842	0	stimulation
69.54	0.105	13909	13929	0	stimulation
