onset	duration	begsample	endsample	offset	type
3.185	0.105	638	658	0	stimulation
3.93	0.105	787	807	0	stimulation
4.675	0.105	936	956	0	stimulation
5.11	0.105	1023	1043	0	stimulation
5.845	0.105	1170	1190	0	stimulation
31.56	0.105	6313	6333	0	stimulation
32.305	0.105	6462	6482	0	stimulation
33.05	0.105	6611	6631	0	stimulation
33.485	0.105	6698	6718	0	stimulation
34.22	0.105	6845	6865	0	stimulation
49.055	0.105	9812	9832	0	stimulation
59.085	0.105	11818	11838	0	stimulation
59.83	0.105	11967	11987	0	stimulation
60.575	0.105	12116	12136	0	stimulation
61.32	0.105	12265	12285	0	stimulation
61.76	0.105	12353	12373	0	stimulation
86.18	0.105	17237	17257	0	stimulation
86.925	0.105	17386	17406	0	stimulation
87.355	0.105	17472	17492	0	stimulation
88.1	0.105	17621	17641	0	stimulation
88.845	0.105	17770	17790	0	stimulation
