onset	duration	begsample	endsample	offset	type
25.915	0.105	5184	5204	0	stimulation
26.885	0.105	5378	5398	0	stimulation
27.855	0.105	5572	5592	0	stimulation
30.75	0.105	6151	6171	0	stimulation
31.72	0.105	6345	6365	0	stimulation
32.69	0.105	6539	6559	0	stimulation
33.66	0.105	6733	6753	0	stimulation
42.955	0.105	8592	8612	0	stimulation
43.925	0.105	8786	8806	0	stimulation
62.82	0.105	12565	12585	0	stimulation
63.79	0.105	12759	12779	0	stimulation
64.76	0.105	12953	12973	0	stimulation
65.73	0.105	13147	13167	0	stimulation
