onset	duration	begsample	endsample	offset	type
7.195	0.105	1440	1460	0	stimulation
7.575	0.105	1516	1536	0	stimulation
7.955	0.105	1592	1612	0	stimulation
9.46	0.105	1893	1913	0	stimulation
9.84	0.105	1969	1989	0	stimulation
12.625	0.105	2526	2546	0	stimulation
13.005	0.105	2602	2622	0	stimulation
13.385	0.105	2678	2698	0	stimulation
13.765	0.105	2754	2774	0	stimulation
61.83	0.105	12367	12387	0	stimulation
62.21	0.105	12443	12463	0	stimulation
62.59	0.105	12519	12539	0	stimulation
62.97	0.105	12595	12615	0	stimulation
