onset	duration	begsample	endsample	offset	type
20.715	0.105	4144	4164	0	stimulation
21.365	0.105	4274	4294	0	stimulation
22.015	0.105	4404	4424	0	stimulation
22.685	0.105	4538	4558	0	stimulation
24.3	0.105	4861	4881	0	stimulation
24.95	0.105	4991	5011	0	stimulation
25.6	0.105	5121	5141	0	stimulation
26.25	0.105	5251	5271	0	stimulation
29.145	0.105	5830	5850	0	stimulation
30.095	0.105	6020	6040	0	stimulation
30.745	0.105	6150	6170	0	stimulation
41.64	0.105	8329	8349	0	stimulation
63.765	0.105	12754	12774	0	stimulation
86.5	0.105	17301	17321	0	stimulation
