onset	duration	begsample	endsample	offset	type
11.49	0.105	2299	2319	0	stimulation
12.14	0.105	2429	2449	0	stimulation
12.79	0.105	2559	2579	0	stimulation
13.44	0.105	2689	2709	0	stimulation
14.09	0.105	2819	2839	0	stimulation
16.985	0.105	3398	3418	0	stimulation
17.955	0.105	3592	3612	0	stimulation
18.605	0.105	3722	3742	0	stimulation
31.42	0.105	6285	6305	0	stimulation
32.07	0.105	6415	6435	0	stimulation
32.72	0.105	6545	6565	0	stimulation
63.45	0.105	12691	12711	0	stimulation
64.425	0.105	12886	12906	0	stimulation
65.075	0.105	13016	13036	0	stimulation
65.725	0.105	13146	13166	0	stimulation
66.375	0.105	13276	13296	0	stimulation
82.065	0.105	16414	16434	0	stimulation
82.715	0.105	16544	16564	0	stimulation
