onset	duration	begsample	endsample	offset	type
0.705	0.105	142	162	0	stimulation
1.71	0.105	343	363	0	stimulation
2.715	0.105	544	564	0	stimulation
5.965	0.105	1194	1214	0	stimulation
14.975	0.105	2996	3016	0	stimulation
15.98	0.105	3197	3217	0	stimulation
16.985	0.105	3398	3418	0	stimulation
31.115	0.105	6224	6244	0	stimulation
32.12	0.105	6425	6445	0	stimulation
33.125	0.105	6626	6646	0	stimulation
35.735	0.105	7148	7168	0	stimulation
36.74	0.105	7349	7369	0	stimulation
37.745	0.105	7550	7570	0	stimulation
38.75	0.105	7751	7771	0	stimulation
39.755	0.105	7952	7972	0	stimulation
43.005	0.105	8602	8622	0	stimulation
44.01	0.105	8803	8823	0	stimulation
45.015	0.105	9004	9024	0	stimulation
46.02	0.105	9205	9225	0	stimulation
47.025	0.105	9406	9426	0	stimulation
56.035	0.105	11208	11228	0	stimulation
57.04	0.105	11409	11429	0	stimulation
58.045	0.105	11610	11630	0	stimulation
59.05	0.105	11811	11831	0	stimulation
67.1	0.105	13421	13441	0	stimulation
68.105	0.105	13622	13642	0	stimulation
69.11	0.105	13823	13843	0	stimulation
77.8	0.105	15561	15581	0	stimulation
78.805	0.105	15762	15782	0	stimulation
79.81	0.105	15963	15983	0	stimulation
88.5	0.105	17701	17721	0	stimulation
89.505	0.105	17902	17922	0	stimulation
90.51	0.105	18103	18123	0	stimulation
91.515	0.105	18304	18324	0	stimulation
92.52	0.105	18505	18525	0	stimulation
