onset	duration	begsample	endsample	offset	type
11.935	0.105	2388	2408	0	stimulation
12.315	0.105	2464	2484	0	stimulation
12.695	0.105	2540	2560	0	stimulation
13.075	0.105	2616	2636	0	stimulation
22.745	0.105	4550	4570	0	stimulation
23.125	0.105	4626	4646	0	stimulation
23.505	0.105	4702	4722	0	stimulation
23.885	0.105	4778	4798	0	stimulation
36.435	0.105	7288	7308	0	stimulation
36.815	0.105	7364	7384	0	stimulation
37.195	0.105	7440	7460	0	stimulation
37.575	0.105	7516	7536	0	stimulation
62.445	0.105	12490	12510	0	stimulation
62.825	0.105	12566	12586	0	stimulation
63.05	0.105	12611	12631	0	stimulation
63.425	0.105	12686	12706	0	stimulation
75.655	0.105	15132	15152	0	stimulation
76.195	0.105	15240	15260	0	stimulation
76.575	0.105	15316	15336	0	stimulation
76.955	0.105	15392	15412	0	stimulation
