onset	duration	begsample	endsample	offset	type
5.675	0.105	1136	1156	0	stimulation
6.215	0.105	1244	1264	0	stimulation
6.595	0.105	1320	1340	0	stimulation
6.975	0.105	1396	1416	0	stimulation
60.805	0.105	12162	12182	0	stimulation
61.185	0.105	12238	12258	0	stimulation
61.41	0.105	12283	12303	0	stimulation
61.785	0.105	12358	12378	0	stimulation
72.255	0.105	14452	14472	0	stimulation
72.635	0.105	14528	14548	0	stimulation
72.86	0.105	14573	14593	0	stimulation
73.235	0.105	14648	14668	0	stimulation
