onset	duration	begsample	endsample	offset	type
3.565	0.105	714	734	0	stimulation
4.535	0.105	908	928	0	stimulation
5.505	0.105	1102	1122	0	stimulation
32.1149	0.105	6423.98	6443.98	0	stimulation
33.725	0.105	6746	6766	0	stimulation
34.695	0.105	6940	6960	0	stimulation
61.875	0.105	12376	12396	0	stimulation
63.485	0.105	12698	12718	0	stimulation
64.4549	0.105	12891.98	12911.98	0	stimulation
66.065	0.105	13214	13234	0	stimulation
79.89	0.105	15979	15999	0	stimulation
80.86	0.105	16173	16193	0	stimulation
81.83	0.105000000000009	16367	16387	0	stimulation
82.8	0.105	16561	16581	0	stimulation
83.77	0.105	16755	16775	0	stimulation
