onset	duration	begsample	endsample	offset	type
0.01	0.105	3	23	0	stimulation
0.66	0.105	133	153	0	stimulation
1.31	0.105	263	283	0	stimulation
13.165	0.105	2634	2654	0	stimulation
13.815	0.105	2764	2784	0	stimulation
14.465	0.105	2894	2914	0	stimulation
14.82	0.105	2965	2985	0	stimulation
16.0899	0.105	3218.98	3238.98	0	stimulation
16.74	0.105	3349	3369	0	stimulation
17.39	0.105	3479	3499	0	stimulation
19.04	0.105	3809	3829	0	stimulation
25.135	0.105	5028	5048	0	stimulation
25.785	0.105	5158	5178	0	stimulation
26.435	0.105	5288	5308	0	stimulation
27.085	0.105	5418	5438	0	stimulation
33.82	0.105	6765	6785	0	stimulation
34.47	0.105	6895	6915	0	stimulation
35.12	0.105	7025	7045	0	stimulation
35.77	0.105	7155	7175	0	stimulation
37.67	0.105	7535	7555	0	stimulation
49.88	0.105	9977	9997	0	stimulation
50.53	0.105	10107	10127	0	stimulation
62.705	0.105	12542	12562	0	stimulation
63.355	0.105	12672	12692	0	stimulation
67.21	0.105	13443	13463	0	stimulation
67.86	0.105	13573	13593	0	stimulation
68.51	0.105	13703	13723	0	stimulation
