onset	duration	begsample	endsample	offset	type
21.995	0.105	4400	4420	0	stimulation
22.645	0.105	4530	4550	0	stimulation
25.22	0.105	5045	5065	0	stimulation
25.87	0.105	5175	5195	0	stimulation
26.52	0.105	5305	5325	0	stimulation
27.17	0.105	5435	5455	0	stimulation
35.845	0.105	7170	7190	0	stimulation
36.495	0.105	7300	7320	0	stimulation
37.145	0.105	7430	7450	0	stimulation
37.795	0.105	7560	7580	0	stimulation
41.65	0.105	8331	8351	0	stimulation
42.3	0.105	8461	8481	0	stimulation
42.95	0.105	8591	8611	0	stimulation
43.6	0.105	8721	8741	0	stimulation
64.395	0.105	12880	12900	0	stimulation
81.39	0.105	16279	16299	0	stimulation
83.305	0.105	16662	16682	0	stimulation
84.615	0.105	16924	16944	0	stimulation
85.265	0.105	17054	17074	0	stimulation
85.915	0.105	17184	17204	0	stimulation
