onset	duration	begsample	endsample	offset	type
27.26	0.105	5453	5473	0	stimulation
28.23	0.105	5647	5667	0	stimulation
46.485	0.105	9298	9318	0	stimulation
47.455	0.105	9492	9512	0	stimulation
48.425	0.105	9686	9706	0	stimulation
61.56	0.105	12313	12333	0	stimulation
62.53	0.105	12507	12527	0	stimulation
63.5	0.105	12701	12721	0	stimulation
64.4699	0.105	12894.98	12914.98	0	stimulation
72.485	0.105	14498	14518	0	stimulation
73.455	0.105	14692	14712	0	stimulation
74.425	0.105	14886	14906	0	stimulation
75.395	0.105	15080	15100	0	stimulation
76.365	0.105	15274	15294	0	stimulation
92.7	0.105	18541	18561	0	stimulation
