onset	duration	begsample	endsample	offset	type
0.33	0.105	67	87	0	stimulation
30.19	0.105	6039	6059	0	stimulation
31.245	0.105	6250	6270	0	stimulation
32.3	0.105	6461	6481	0	stimulation
33.355	0.105	6672	6692	0	stimulation
35.69	0.105	7139	7159	0	stimulation
42.51	0.105	8503	8523	0	stimulation
43.565	0.105	8714	8734	0	stimulation
44.62	0.105	8925	8945	0	stimulation
69.36	0.105	13873	13893	0	stimulation
70.415	0.105	14084	14104	0	stimulation
71.47	0.105	14295	14315	0	stimulation
89.81	0.105	17963	17983	0	stimulation
90.865	0.105	18174	18194	0	stimulation
92.56	0.105	18513	18533	0	stimulation
