onset	duration	begsample	endsample	offset	type
59.985	0.105	11998	12018	0	stimulation
60.955	0.105	12192	12212	0	stimulation
61.925	0.105	12386	12406	0	stimulation
62.895	0.105	12580	12600	0	stimulation
70.315	0.105	14064	14084	0	stimulation
71.285	0.105	14258	14278	0	stimulation
72.255	0.105	14452	14472	0	stimulation
73.225	0.105	14646	14666	0	stimulation
74.195	0.105	14840	14860	0	stimulation
80.29	0.105	16059	16079	0	stimulation
81.26	0.105	16253	16273	0	stimulation
82.23	0.105	16447	16467	0	stimulation
84.48	0.105	16897	16917	0	stimulation
85.45	0.105	17091	17111	0	stimulation
