onset	duration	begsample	endsample	offset	type
5.455	0.105	1092	1112	0	stimulation
6.425	0.105	1286	1306	0	stimulation
7.395	0.105	1480	1500	0	stimulation
8.365	0.105	1674	1694	0	stimulation
15.74	0.105	3149	3169	0	stimulation
16.71	0.105	3343	3363	0	stimulation
17.68	0.105	3537	3557	0	stimulation
18.65	0.105	3731	3751	0	stimulation
62.505	0.105	12502	12522	0	stimulation
63.475	0.105	12696	12716	0	stimulation
64.445	0.105	12890	12910	0	stimulation
65.415	0.105	13084	13104	0	stimulation
84.995	0.105	17000	17020	0	stimulation
