onset	duration	begsample	endsample	offset	type
0.27	0.105	55	75	0	stimulation
1.13	0.105	227	247	0	stimulation
21.835	0.105	4368	4388	0	stimulation
22.695	0.105	4540	4560	0	stimulation
23.555	0.105	4712	4732	0	stimulation
24.415	0.105	4884	4904	0	stimulation
31.04	0.105	6209	6229	0	stimulation
31.9	0.105	6381	6401	0	stimulation
32.76	0.105	6553	6573	0	stimulation
33.62	0.105	6725	6745	0	stimulation
60.725	0.105	12146	12166	0	stimulation
61.585	0.105	12318	12338	0	stimulation
62.445	0.105	12490	12510	0	stimulation
63.305	0.105	12662	12682	0	stimulation
64.165	0.105	12834	12854	0	stimulation
